review_content,date,overall_rating,food,service,ambiance,restaurant,timestamp
"Really enjoyed our meal.  This was our first time there as a family (I was there in the 80’s)  and we were disappointed in the table they gave us - behind a column by the kitchen. I guess regulars get better tables but the food, service and value were excellent.","Dined on December 15, 2024",4,4,5,3,Cafe Luxembourg,2024-12-11
The service was warm and welcoming. The food was fantastic. A great New York spot!,"Dined on December 15, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"This is the most recent of many trips to Luxembourg. The vibe is specifically New York upper west side feeling, tight tables, well-displayed food that is just fine.","Dined on December 15, 2024",4,4,5,4,Cafe Luxembourg,2024-12-11
"Wonderful lunch, a tad on the expensive side. But wonderful, nonetheless!","Dined on December 15, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Steak frites at Café Lux is our holiday tradition. It never disappoints.,"Dined on December 14, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"A perfect 10 from food, service, and ambiance! The burger was amazing and the sundae is a must!","Dined on December 14, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Outstanding service, iconic dining room - so festive around the holidays.","Dined on December 14, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Cafe Luxembourg is truly a neighborhood gem.  I appreciated the kindness when I needed to change the reservation time and the attention to detail for the reservation. Our experience from start to finish exceeded expectations. Our server was was attentive and did not rush our dining experience even though they were busy. I definitely recommend the French onion soup and for my entree I had the delicious pork chop.  I did learn that was an item that would eventually leave the menu.  I was celebrating a birthday and ended with a sundae for sharing. Overall, this is a place where everyone feels welcome.","Dined on December 14, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Delicious food, attentive service, festive vibe! Always a favorite!","Dined on December 14, 2024",5,5,4,4,Cafe Luxembourg,2024-12-11
We went for a birthday celebration and it didn’t disappoint.,"Dined on December 13, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Favorite neighborhood restaurant for years— love everything about this spot!,"Dined on December 13, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Our favorite UWS spot, we take family whenever in town!","Dined on December 12, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Café Luxembourg has become a staple favorite of our family every time we are in New York. It delivers on food, excellent service and ambience all wrapped in one it’s so beautiful quaint Neighborhood style restaurant with unpretentious style.","Dined on December 11, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
We were there for my husband’s birthday and everyone was terrific celebrating us!,"Dined on December 11, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Great afternoon catching up with an old friend and I ran into the world of people I had not seen in years…and the service was very good,"Dined on December 10, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Reliably good French food, reasonably quiet. Seating sometimes a little tight.","Dined on December 10, 2024",5,4,3,4,Cafe Luxembourg,2024-12-11
Definitely worth coming the food was terrific and the Better than Bond Vespers are a must,"Dined on December 8, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Always an easy choice on the UWS. Excellent menu, food and service in a warm welcoming setting. Great cocktail choices and wine menu.","Dined on December 8, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Very filling and delicious food. Great service. Warm place.,"Dined on December 8, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Simply divine!! As always!!
Wonderful, has been for years!","Dined on December 7, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Awesome brunch. Lively crowd. Service was on point and hustling. Incredibly polite. Bar service is prompt. Servers are charming and working hard. Will definitely be back soon!,"Dined on December 7, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
