review_content,date,overall_rating,food,service,ambiance,restaurant,timestamp
"Really great dinner!  I would highly recommend  all of our food, including appetizers, dinners and desserts were very tasty. Warm and inviting atmosphere.",Dined 2 days ago,5,5,5,5,the-pink-door,2024-12-10
"Food was amazing! Cioppino was amazing, arancini was delicious, the steak was 10/10! Great service and atmosphere. Would recommend!",Dined 2 days ago,5,5,5,5,the-pink-door,2024-12-10
"My mother and I accidentally stumbled into the pink door about a year or so ago. We smelled it and followed our noses.  Now we are hooked.. We try to go to The Pink door whenever we see a show in Seattle. It's not easy to get in unless you have a reservation but the food is amazing. Their Bolognese is perfection. From the pasta to the sauce it is what all other Bolognese strives to be.

We also got the gnocchi with gorgonzola cream sauce and pomegranate. It is rich but the tangy pomegranate cuts it just right. And the gnocchi is pillowy and light.

Service is friendly as always. Atmosphere has some strange elements when it comes to decor but even with some of the strangeness, it's still cozy overall.

I already have a reminder set to book our next reservation.
Read more",Dined 2 days ago,5,5,5,4,the-pink-door,2024-12-10
"A true Seattle treasure. Impeccably service, the most gorgeous food presentation and a lively but classy ambiance. The food was delicious & interesting (in the best way). Everything I hoped for and more!",Dined 3 days ago,5,5,5,5,the-pink-door,2024-12-09
"Delicious food, so pretty looking out the window in the back part of the restaurant. Our server was delightful. Really lovely experience. Definitely will be back.",Dined 4 days ago,5,5,5,5,the-pink-door,2024-12-08
"Eric was excellent and full of energy.  We both had the steak, which was delicious.  Overall, an A+ meal and setting.",Dined 4 days ago,5,5,5,5,the-pink-door,2024-12-08
"The lasagna was amazing, but the Tuscan fries were disappointing … basically regular frozen fries with some large leaves on top and whole cloves of garlic sitting on the side (not presented in a way that you would eat it with the fries). The service was horrible. The hostess was extremely rude, and the rest of the staff seemed unhappy to be there and annoyed with having to help customers. The restaurant was cute inside but overall, I would not go there again. I would order the lasagna to-go if I could avoid the staff.
Read more",Dined 4 days ago,2,3,1,4,the-pink-door,2024-12-08
Great lunch. Beautiful table with a view.,Dined 4 days ago,5,5,5,5,the-pink-door,2024-12-08
"Fabulous food, service and atmosphere. Would highly recommend.",Dined 4 days ago,5,5,5,5,the-pink-door,2024-12-08
"What a festive evening with friends from out of town. Magic behind the pink door. Delicious arancini to start and sticky toffee pudding.

The best part was being accommodated so graciously after a last minute schedule change!
Read more",Dined 5 days ago,5,5,5,5,the-pink-door,2024-12-07
Another absolutely wonderful night at TPD. We were given a great table and received great service. Our meals and drinks were great. Can’t wait to go back this summer.,Dined 5 days ago,5,5,5,5,the-pink-door,2024-12-07
We had a fabulous table with a great view for our anniversary. The service was great and the food was fantastic. We highly recommend Pink Door!,Dined 5 days ago,5,5,5,5,the-pink-door,2024-12-07
"Our party of three had a wonderful late lunch at The Pink Door. Our waiter was absolutely outstanding and very attentive to our requests. Two of enjoyed the market fish of the day: seared scallops with lentils, cauliflower puree and frisee. One ordered the gogonzola gnocchi with toasted walnuts and pomegranate. Our view table was perfect. Bravo to one of Seattle's classic restaurants.
Read more",Dined 5 days ago,5,5,5,3,the-pink-door,2024-12-07
There is a great vibe throughout the restaurant. Everyone is happy to be at the Pink Door?,Dined 5 days ago,5,5,5,5,the-pink-door,2024-12-07
Fantastic meal. The linguini and clams was divine!,Dined 6 days ago,5,5,5,5,the-pink-door,2024-12-06
Food was a bit overrated. Famous lasagna had little flavor. Great views and ambience though!,Dined 6 days ago,3,2,4,5,the-pink-door,2024-12-06
"This is my second visit to The Pink Door, and I am very happy to say it was just as lovely as the first. Beautiful food, ambience, and service. They do not rush you. We were given a great wine recommendation, and the food is delicious. Highly recommend!","Dined on December 1, 2024",5,5,5,5,the-pink-door,2024-12-01
"What a pleasant experience! We had the pappardelle bolognese, cioppino, and the Caesar. They were all delicious. We especially loved the cioppino which had a mild tomatoey taste not fishy perfect to our taste. I rarely order cioppino at seafood restaurants but was pleasantly surprised. Definitely will be back.","Dined on December 1, 2024",5,5,5,5,the-pink-door,2024-12-01
"The Pink Door has always been special but in recent years it has risen to perfection.  Every time I am in town, I make a point to stop in and it is always a flavor sensation.  Every dish they prepare is a treat to your taste buds.  The staff are great and the ambience is just right with the old world feel and new world spin.","Dined on December 1, 2024",5,5,5,5,the-pink-door,2024-12-01
"Great food, Great service, highly recommend this restaurant.","Dined on December 1, 2024",5,5,5,4,the-pink-door,2024-12-01
Another great experience and amazing food!  Chefs kiss on the dessert as well!  Thanks for always offering great options and a true experience!,"Dined on December 1, 2024",5,5,5,5,the-pink-door,2024-12-01
"Absolutely love this place. The atmosphere is very relaxed, the food and drinks are superb, so is the view and so is service (for the most part). I almost always order from the special or seasonal menu, and this time was no exception. Winter salad, scallops, special drink and espresso. The ingredients are simple but masterfully prepared. Sometimes difficult to get a reservation, so worth planning ahead. Highly recommend.
Read more","Dined on December 1, 2024",5,5,4,5,the-pink-door,2024-12-01
