review_content,date,overall_rating,food,service,ambiance,restaurant,timestamp
Beautiful room and view. Such a special place to have a holiday lunch. Impeccable food and service.,Dined today,5,5,5,5,The Pink Door,2024-12-11
Such a good experience. Never liked italian food but this totally changed my perspective.,Dined 1 day ago,5,5,5,5,The Pink Door,2024-12-11
"Absolutely the best Italian food I've had in Italy, with service and a fantastic table to go with it.  Having just spent 10 days in 3 cities across Italy, I really appreciated everything, and the hospitality that went with it.  Great pate, lasagna and daily fish.  Super wine list as well.  Looking forward to returning next trip to SEA.",Dined 1 day ago,5,5,5,5,The Pink Door,2024-12-11
"Jeannie, our server, was amazing. From start to finish she was very attentive and friendly. The food was amazing. Highly recommend going there to enjoy the food, performance and atmosphere.",Dined 1 day ago,5,5,5,5,The Pink Door,2024-12-11
"Love this place so much!  We try to come here every year for my birthday, and never am I disappointed.  Every dish from the bread and oil to dessert, is exceptional.  Make reservations ahead of time.",Dined 1 day ago,5,5,5,5,The Pink Door,2024-12-11
"Soooooo delightful, amazing food, incredible atmosphere",Dined 1 day ago,5,5,5,5,The Pink Door,2024-12-11
"Really great dinner!  I would highly recommend  all of our food, including appetizers, dinners and desserts were very tasty. Warm and inviting atmosphere.",Dined 4 days ago,5,5,5,5,The Pink Door,2024-12-11
"Food was amazing! Cioppino was amazing, arancini was delicious, the steak was 10/10! Great service and atmosphere. Would recommend!",Dined 4 days ago,5,5,5,5,The Pink Door,2024-12-11
"My mother and I accidentally stumbled into the pink door about a year or so ago. We smelled it and followed our noses.  Now we are hooked.. We try to go to The Pink door whenever we see a show in Seattle. It's not easy to get in unless you have a reservation but the food is amazing. Their Bolognese is perfection. From the pasta to the sauce it is what all other Bolognese strives to be.

We also got the gnocchi with gorgonzola cream sauce and pomegranate. It is rich but the tangy pomegranate cuts it just right. And the gnocchi is pillowy and light.

Service is friendly as always. Atmosphere has some strange elements when it comes to decor but even with some of the strangeness, it's still cozy overall.

I already have a reminder set to book our next reservation.",Dined 4 days ago,5,5,5,4,The Pink Door,2024-12-11
"A true Seattle treasure. Impeccably service, the most gorgeous food presentation and a lively but classy ambiance. The food was delicious & interesting (in the best way). Everything I hoped for and more!",Dined 5 days ago,5,5,5,5,The Pink Door,2024-12-11
"Delicious food, so pretty looking out the window in the back part of the restaurant. Our server was delightful. Really lovely experience. Definitely will be back.",Dined 6 days ago,5,5,5,5,The Pink Door,2024-12-11
"Eric was excellent and full of energy.  We both had the steak, which was delicious.  Overall, an A+ meal and setting.",Dined 6 days ago,5,5,5,5,The Pink Door,2024-12-11
"The lasagna was amazing, but the Tuscan fries were disappointing … basically regular frozen fries with some large leaves on top and whole cloves of garlic sitting on the side (not presented in a way that you would eat it with the fries). The service was horrible. The hostess was extremely rude, and the rest of the staff seemed unhappy to be there and annoyed with having to help customers. The restaurant was cute inside but overall, I would not go there again. I would order the lasagna to-go if I could avoid the staff.",Dined 6 days ago,2,3,1,4,The Pink Door,2024-12-11
Great lunch. Beautiful table with a view.,Dined 6 days ago,5,5,5,5,The Pink Door,2024-12-11
"Fabulous food, service and atmosphere. Would highly recommend.",Dined 6 days ago,5,5,5,5,The Pink Door,2024-12-11
